iter	Passed	Remaining
0	19	42732
1	42	45518
2	69	50299
3	86	46605
4	104	45292
5	124	44828
6	140	43316
7	156	42217
8	174	41788
9	196	42388
10	217	42525
11	239	42916
12	257	42604
13	276	42381
14	293	41959
15	310	41687
16	328	41409
17	345	41131
18	359	40617
19	385	41359
20	407	41577
21	424	41344
22	444	41393
23	466	41533
24	484	41402
25	503	41346
26	526	41666
27	546	41666
28	567	41772
29	589	41881
30	609	41914
31	625	41674
32	644	41594
33	663	41563
34	681	41459
35	700	41363
36	718	41257
37	732	40983
38	747	40727
39	764	40571
40	782	40488
41	799	40389
42	818	40334
43	841	40504
44	859	40470
45	878	40442
46	894	40292
47	911	40164
48	928	40062
49	944	39914
50	959	39728
51	977	39664
52	995	39639
53	1012	39547
54	1032	39554
55	1052	39589
56	1068	39490
57	1084	39353
58	1099	39223
59	1116	39145
60	1134	39092
61	1149	38948
62	1164	38824
63	1186	38911
64	1204	38884
65	1222	38843
66	1238	38754
67	1256	38697
68	1273	38646
69	1291	38607
70	1307	38529
71	1324	38459
72	1342	38435
73	1363	38503
74	1385	38568
75	1403	38538
76	1421	38514
77	1439	38487
78	1457	38439
79	1474	38380
80	1493	38389
81	1515	38462
82	1532	38408
83	1548	38319
84	1566	38290
85	1583	38251
86	1601	38216
87	1620	38220
88	1643	38288
89	1664	38328
90	1686	38390
91	1706	38415
92	1725	38400
93	1743	38385
94	1764	38405
95	1786	38475
96	1811	38591
97	1839	38757
98	1862	38822
99	1881	38822
100	1899	38779
101	1917	38748
102	1936	38731
103	1955	38709
104	1973	38676
105	1992	38661
106	2010	38622
107	2025	38537
108	2041	38476
109	2059	38444
110	2077	38412
111	2095	38376
112	2119	38446
113	2139	38453
114	2156	38397
115	2173	38347
116	2190	38311
117	2208	38269
118	2228	38283
119	2249	38295
120	2269	38298
121	2290	38324
122	2312	38354
123	2337	38438
124	2362	38513
125	2386	38582
126	2408	38613
127	2432	38680
128	2457	38748
129	2486	38880
130	2508	38913
131	2530	38936
132	2549	38912
133	2568	38891
134	2596	39005
135	2619	39039
136	2639	39036
137	2661	39056
138	2733	39796
139	2761	39898
140	2782	39909
141	2803	39899
142	2825	39909
143	2847	39926
144	2881	40107
145	2901	40080
146	2920	40054
147	2940	40040
148	2963	40051
149	2983	40040
150	3006	40065
151	3028	40073
152	3048	40043
