iter	Passed	Remaining
0	18	15461
1	35	15180
2	52	15007
3	69	14813
4	86	14683
5	103	14571
6	118	14385
7	136	14383
8	152	14350
9	170	14356
10	188	14466
11	207	14580
12	225	14557
13	242	14558
14	262	14675
15	280	14700
16	297	14667
17	314	14590
18	331	14573
19	349	14581
20	367	14564
21	384	14558
22	400	14464
23	417	14430
24	434	14391
25	450	14335
26	466	14273
27	481	14209
28	499	14220
29	517	14216
30	534	14186
31	551	14164
32	567	14119
33	583	14073
34	600	14042
35	616	14002
36	631	13949
37	647	13913
38	666	13921
39	684	13921
40	700	13894
41	716	13858
42	732	13824
43	749	13802
44	766	13786
45	782	13749
46	799	13729
47	817	13729
48	835	13730
49	851	13690
50	867	13659
51	885	13651
52	901	13622
53	918	13611
54	937	13612
55	956	13625
56	976	13657
57	995	13660
58	1013	13654
59	1030	13642
60	1049	13641
61	1065	13607
62	1081	13583
63	1098	13562
64	1116	13546
65	1134	13544
66	1151	13527
67	1171	13538
68	1189	13537
69	1207	13521
70	1224	13503
71	1243	13503
72	1259	13478
73	1278	13473
74	1297	13471
75	1317	13483
76	1334	13463
77	1351	13442
78	1371	13451
79	1389	13441
80	1405	13410
81	1421	13386
82	1438	13361
83	1454	13330
84	1472	13320
85	1490	13313
86	1508	13302
87	1525	13276
88	1542	13257
89	1558	13227
90	1574	13201
91	1589	13164
92	1605	13135
93	1622	13114
94	1638	13094
95	1657	13084
96	1672	13055
97	1688	13022
98	1705	13005
99	1722	12983
100	1737	12954
101	1754	12932
102	1769	12903
103	1787	12889
104	1806	12887
105	1826	12887
106	1841	12857
107	1859	12840
108	1875	12817
109	1891	12790
110	1906	12758
111	1922	12733
112	1939	12718
113	1956	12703
114	1973	12682
115	1987	12645
116	2003	12617
117	2019	12598
118	2035	12571
119	2051	12548
120	2067	12524
121	2084	12505
122	2100	12486
123	2119	12479
124	2135	12453
125	2151	12431
126	2167	12405
127	2184	12388
128	2202	12379
129	2221	12369
130	2239	12361
131	2261	12370
132	2282	12373
133	2303	12374
134	2323	12375
135	2341	12361
136	2362	12364
137	2379	12343
138	2397	12332
139	2413	12306
140	2430	12288
141	2447	12269
142	2468	12271
143	2504	12346
144	2538	12412
145	2558	12406
146	2575	12385
147	2602	12415
148	2622	12407
149	2640	12393
150	2659	12379
151	2676	12362
152	2692	12335
153	2709	12315
154	2728	12304
155	2746	12290
156	2765	12277
157	2785	12268
158	2802	12248
159	2819	12228
160	2835	12204
161	2850	12176
162	2866	12152
163	2883	12133
164	2900	12110
165	2916	12087
166	2935	12074
167	2952	12055
168	2970	12040
169	2984	12009
170	3000	11985
171	3016	11960
172	3033	11941
173	3049	11917
174	3065	11893
175	3082	11876
176	3102	11865
177	3120	11850
178	3138	11836
179	3155	11814
180	3172	11796
181	3189	11776
182	3205	11755
183	3220	11727
184	3236	11705
185	3253	11685
186	3272	11672
187	3290	11655
188	3305	11628
189	3321	11609
190	3337	11585
191	3352	11559
192	3368	11537
193	3384	11514
194	3399	11487
195	3416	11468
196	3434	11452
197	3452	11437
198	3468	11415
199	3483	11391
200	3499	11370
201	3517	11354
202	3533	11331
203	3550	11313
204	3569	11299
205	3587	11283
206	3607	11275
207	3626	11264
208	3644	11246
209	3660	11226
210	3677	11207
211	3694	11188
212	3714	11178
213	3732	11163
214	3751	11149
215	3768	11131
216	3785	11111
217	3800	11087
218	3817	11067
219	3833	11047
220	3848	11024
221	3864	11001
222	3881	10982
223	3897	10962
224	3915	10945
225	3931	10924
226	3945	10898
227	3960	10873
228	3977	10855
229	3995	10838
230	4012	10822
231	4031	10809
232	4049	10791
233	4068	10778
234	4086	10763
235	4102	10743
236	4121	10729
237	4138	10710
238	4155	10693
239	4171	10672
240	4192	10663
241	4210	10649
242	4227	10629
243	4244	10610
244	4261	10591
245	4278	10575
246	4295	10556
247	4316	10547
248	4336	10536
249	4358	10529
250	4382	10527
251	4402	10517
252	4424	10510
253	4444	10498
254	4462	10483
255	4481	10468
256	4504	10462
257	4525	10455
258	4544	10439
259	4566	10433
260	4586	10420
261	4606	10407
262	4627	10398
263	4646	10384
264	4669	10377
265	4688	10363
266	4707	10349
267	4725	10331
268	4741	10312
269	4757	10290
270	4774	10271
271	4792	10253
272	4808	10233
273	4826	10217
274	4846	10203
275	4863	10184
276	4879	10165
277	4896	10145
278	4913	10127
279	4932	10111
280	4949	10092
281	4968	10077
282	4984	10057
283	5006	10048
284	5024	10030
285	5042	10014
286	5059	9995
287	5076	9976
288	5096	9963
289	5114	9946
290	5131	9927
291	5148	9908
292	5172	9903
293	5188	9882
294	5205	9864
295	5220	9840
296	5237	9822
297	5255	9805
298	5274	9789
299	5291	9772
300	5308	9752
301	5324	9732
302	5341	9714
303	5357	9693
304	5372	9670
305	5388	9650
306	5407	9633
307	5423	9614
308	5441	9597
309	5459	9579
310	5474	9558
311	5490	9537
